product_name,brands,stores,nutriscore_grade,nutrition_score_fr,energy_kcal,fat_100g,saturated_fat_100g,sugars_100g,salt_100g,fiber_100g,proteins_100g,labels,origins,categories,url,code,has_label_bio,nutrient_density,scoring_nutritionnel_personnalise,qualite_nutritionnelle
Freshona Tomato Passata,Baresa,Lidl,A,,35.0,0.1,0.1,4.4,0.0975,2.2,1.8,"Vegetarien,Vegetalien,Fsc,Fsc Mix,Nutriscore,Nutriscore Grade A",,"Plant-Based Foods And Boissons,Plant-Based Foods,Fruits And Vegetables Based Foods,Condiments,Vegetables Based Foods,Sauces,Tomatoes And Their Products,Strained Tomatoes",https://world.openfoodfacts.org/product/20522605/freshona-tomato-passata-baresa,20522605,False,5.555555555555555,35.5,Excellent
Chopped Tomatoes,Tesco,Tesco,A,,22.0,0.1,0.05,3.8,0.0688,0.7,1.1,"Vegetarien, Vegetalien",Italie,"Plant-Based Foods And Boissons, Plant-Based Foods, Fruits And Vegetables Based Foods, Canned Foods, Vegetables Based Foods, Canned Plant-Based Foods, Vegetables, Canned Vegetables, Tomatoes And Their Products, Tomatoes, Canned Tomatoes",https://world.openfoodfacts.org/product/5057545745946/chopped-tomatoes-tesco,5057545745946,False,4.4,24.05,Excellent
Chopped tomatoes,Simply,Lidl,A,,20.0,0.1,0.0,3.0,0.05,1.1,1.3,"Vegetarien, Vegetalien",Italie,"Plant-Based Foods And Boissons, Plant-Based Foods, Fruits And Vegetables Based Foods, Canned Foods, Vegetables Based Foods, Canned Plant-Based Foods, Vegetables, Canned Vegetables, Tomatoes And Their Products, Tomatoes, Canned Tomatoes",https://world.openfoodfacts.org/product/20164072/chopped-tomatoes-simply,20164072,False,4.545454545454545,20.6,Excellent
Haricots Verts 100G environ 25 cal,Cassegrain,"Carrefour,Carrefour.Fr",A,,20.0,0.1,0.1,1.3,0.7875,2.4,1.4,"No Preservatives,Nutriscore,Nutriscore Grade A,Triman","Kenya,Madagascar","Plant-Based Foods And Boissons,Plant-Based Foods,Fruits And Vegetables Based Foods,Legumes And Their Products,Canned Foods,Legumes,Vegetables Based Foods,Canned Plant-Based Foods,Vegetables,Canned Vegetables,Green Beans,Canned Legumes,Canned Green Beans",https://world.openfoodfacts.org/product/3083681094923/extra-haricots-verts-conserve-cassegrain,3083681094923,False,7.142857142857143,17.6,Excellent
Skyr nature 0%,Yoplait,Aldi,A,,57.0,0.105,0.065,3.6,0.1375,0.0,9.5,"French Milk, Nutriscore, Nutriscore Grade A, Triman, En:Made-In-France",France,"Produits Laitiers,Produits Fermentés,Produits Laitiers Fermentés,Desserts,Desserts Lactés,Desserts Lactés Fermentés,Fromages Blancs - Petit Suisses Et Skyr,Desserts Lactés Fermentés Nature,Skyrs,Skyrs Nature,Fromages",https://world.openfoodfacts.org/product/3329770077003/skyr-nature-yoplait,3329770077003,False,4.316546762589928,51.165,Excellent
Concentré de tomates Aicha,Aicha,Marjane,A,,31.6,0.108,0.0,2.43,0.27,0.811,1.24,,Maroc,"Aliments Et Boissons À Base De Végétaux, Aliments D'Origine Végétale, Aliments À Base De Fruits Et De Légumes, Légumes Et Dérivés, Tomates Et Dérivés, Tomates, Concentrés De Tomates",https://world.openfoodfacts.org/product/6111021090049/concentre-de-tomates-aicha,6111021090049,False,8.364213869772366,31.979,Excellent
Skyr | Natural Fat Free | 0% Fat,Arla,Asda,A,,60.0,0.2,0.1,4.0,0.1375,0.0,10.0,"Low Or No Fat, Low Or No Sugar, Low Sugar, Reduced Sugar, High Proteins, No Fat, No Artificial Flavour & Colour",Allemagne,"Produits Laitiers, Fermented Foods, Fermented Milk Products, Desserts, Dairy Desserts, Fermented Dairy Desserts, Plain Fermented Dairy Desserts, Skyrs, Plain Skyrs, En:Plain-Yogurts",https://world.openfoodfacts.org/product/4016241030573/skyr-natural-fat-free-0-fat-arla,4016241030573,False,4.225352112676057,54.099999999999994,Excellent
Heinz Beanz No Added Sugar,"Haugen-Gruppen As,Heinz",Tesco,A,,66.0,0.2,0.1,1.9,0.4,3.6,4.6,Sans Gluten,,"Aliments Et Boissons À Base De Végétaux,Aliments D'Origine Végétale,Plats Préparés,Légumes Préparés,Haricots À La Tomate",https://world.openfoodfacts.org/product/5000157078773/heinz-beanz-no-added-sugar-haugen-gruppen-as,5000157078773,False,9.850746268656717,59.8,Excellent
Italian Chopped Tomatoes,Tesco,Tesco,A,,25.0,0.2,0.1,4.0,0.09,0.9,1.4,Suitable For Vegans,,"Plant-Based Foods And Boissons,Plant-Based Foods,Fruits And Vegetables Based Foods,Canned Foods,Vegetables Based Foods,Canned Plant-Based Foods,Vegetables,Canned Vegetables,Tomatoes And Their Products,Tomatoes,Canned Tomatoes",https://world.openfoodfacts.org/product/5031021164032/italian-chopped-tomatoes-tesco,5031021164032,False,4.464285714285714,26.8,Excellent
SKYR,Danone,"Intermarché,Auchan,Carrefour.Fr",A,,57.0,0.2,0.1,3.9,0.1,0.0,10.0,"Fabriqué En France, Nutriscore, Nutriscore A, Triman",France,"Produits Laitiers, Produits Fermentés, Produits Laitiers Fermentés, Fromages, Desserts, Desserts Lactés, Desserts Lactés Fermentés, Fromages Blancs - Petit Suisses Et Skyr, Skyrs, Fromages À La Crème",https://world.openfoodfacts.org/product/3033491454080/skyr-danone,3033491454080,False,4.042553191489362,51.0,Excellent
5 rodzajów fasoli w sosie pomidorowym,Heinz,"Sainsbury'S,Kaufland,Lidl",A,,87.0,0.2,0.0,4.7,0.6,4.3,5.4,"Bezglutenowy, Wegetariańskie, Bez Sztucznych Aromatów, Bez Sztucznych Konserwantów, Wegańskie, En:Green Dot, Bez Sztucznych Barwników",,"Żywność I Napoje Na Bazie Roślin, Żywność Na Bazie Roślin, Posiłki, En:Prepared Vegetables, En:Baked Beans In Tomato Sauce, En:Beans In Tomato Sauce",https://world.openfoodfacts.org/product/5000157072023/five-beanz-heinz,5000157072023,False,8.446601941747572,82.0,Excellent
